Target,Uniform,EI,LCB,N_rot
omegacsd_SILTUC,55.68702273598214,14.323295684397763,3.305316027375582,6
omegacsd_COKBOT,61.16639996964487,7.546478631338232,0.5265293523295895,6
omegacsd_TAPSOS,411.52154483711274,0.2617921777024179,0.2363007202820313,6
omegapdb_1v2n,155180.3867137966,5.850668761564407,6.048198794446947,6
omegacsd_DAFVUB,38.938971935205586,8.058264399814817,7.506249554707736,6
omegacsd_JOTDAX,754.1501073645401,0.0003782009631549954,-2.8553129571906055,6
omegapdb_1h1s,13.023553883685608,4.290802002352208,4.9590334473050035,6
omegacsd_YULXIM,797.4426191875584,13.557689508867057,3.4630699811749466,6
omegacsd_COYTOZ,57.800714810789835,8.43722849174727,7.834382896407156,6
astex_2bsm,439.4567691408831,3.91392572435835,-3.260766532719927,6
astex_1yqy,652.8647622225897,16.98910736361197,19.59608141993383,6
omegacsd_BENPRL,66.33680399837132,7.4682906223562,7.2577833800971945,6
omegacsd_BUYZIE,43.13420336570867,14.846942399957243,16.75222792836331,6
omegacsd_MVERIQ,8981.909748639939,2.2285301181041888,-2.5018507491583364,6
omegacsd_SISYIC,48.19524256399913,-13.373067108122456,5.035299879615337,6
omegacsd_ABSBPP,-6.728442370624336,-17.96147104609136,-15.76570587229807,6
omegapdb_2j47,74.27575183218363,19.93419169347891,12.241378418981327,6
astex_1s3v,56.9241764919837,14.754141108725605,5.199917108339264,6
omegacsd_CMANPQ,7.4638794953153536,12.957204200897067,6.498133608377628,6
omegacsd_AZLNPR,46137.94520586274,7.4804674690875,6.626667412926906,6
omegacsd_DEBBOB,44.5423169185174,14.822424364284132,10.057968616921073,6
omegacsd_FLPNTX10,1946.0127470286172,14.899735224295625,26.815983111062366,6
omegacsd_HEHVOF,174681.93241843343,9.419805941175014,9.39650057256641,6
omegacsd_KIXLOS,5286.810678945655,14.343550754628453,5.380440513062112,6
omegapdb_2gss,221.39066807102958,0.7249567935906214,10.816526539089764,6
omegacsd_SIHDIW,4984.099936017866,5.475467013903383,11.76769081847253,6
omegacsd_CATXIE,72.05387313468552,33.777680924672026,17.066740281971107,6
omegacsd_COCHOL,3037.827939274514,0.41781212713243576,1.5819177509988265,6
omegapdb_1g4s,953.1699480467854,19.61247549834485,22.634098996830346,6
omegacsd_PMANAQ,56.376621585029525,4.948609706513409,14.839772722404163,6
omegacsd_FAWREA,416.75475798571597,6.209036364281189,11.316763485580069,6
omegapdb_1is0,165.6622570650365,8.306815549622087,13.93061557043498,6
omegacsd_PMEPEN,39.50251331758423,9.917900387710091,16.235113280156213,6
omegacsd_TEDBUZ,79.44777468928233,21.572251272687808,16.24628515559263,6
omegacsd_KEJGEL,88.1609963060292,-11.169292939711568,-16.645286561705348,6
astex_1v48,1015.1766525691077,7.553187139329623,7.553187139329623,6
omegacsd_YAZBAC,127.82105654711619,22.56335191312799,6.852570935182115,6
omegacsd_GIHTUM,257.3422168464581,14.586923456907854,17.85574208069457,6
omegacsd_DAFTOT,25.040398535637166,7.781814140902114,12.263097837714078,6
omegacsd_FOYLIO,172.75621320700048,25.77648372413708,25.77648372413708,6
omegacsd_KOTGIJ,48997.46677402785,6.934911194627645,8.79213848152554,6
omegacsd_DISHOC,34.48888189654828,6.1612191434330725,7.305685580326369,6
omegacsd_FANPUF,1033.8461051843626,25.74016472888887,15.825117054586585,6
omegacsd_SURREC,26.981282497385195,20.68016149883556,24.960920357447634,6
omegacsd_COZFOM,110.3798525752138,10.860475068411844,10.946950631628269,6
omegacsd_SAGWOM,59.311560499709785,-5.937739992162367,0.2630678422120063,6
omegacsd_BIBSEK,39899.06219540101,8.260350873859508,13.114128754772423,6
omegacsd_YABKOB,1366.9163490253993,6.117737468048517,5.099302851072267,6
omegacsd_KUFPIK,29.571526781911842,4.139178177908576,1.359294485415262,6
omegacsd_LANXED,6.4142821557559415,6.657095222793075,7.874817200502235,6
omegacsd_CARNID,82167.78990496644,16.642699408197274,10.757296788714307,6
omegapdb_2j34,102937.33953825451,15.17091252605612,6.724211122079176,6
astex_1u1c,95.42951757267156,4.661420209869718,5.1549233599264355,6
omegacsd_KOFLOG,46.34059071093954,8.065533129766898,6.15627459020898,6
omegacsd_FHFPBY,22.99796185888767,7.567050548285302,6.730669900575897,6
omegacsd_PNPAUR,19.876755759313475,6.534283020627207,5.321517564525173,6
omegacsd_TANNOL,20.48857645298311,8.097275707915294,9.973391025146888,6
astex_1meh,16.823987220155153,8.304501848327696,13.626768838926928,6
omegacsd_FUHLID,201.09208800011672,-2.756651875415514,7.3823568928058165,6
omegacsd_CFBPBI,63.58355873289216,9.798136854952872,10.99838195571477,6
omegacsd_ACENHT,53.81003307776673,12.089529377406556,18.07315863514225,6
omegapdb_2f34,1700.530624741375,19.919514559498722,8.231996920831762,6
omegacsd_FAHXIV,42.333654164531424,15.920602788773863,12.64792326066214,6
omegacsd_PEPHEX,157.1677962406015,11.653529852691037,23.315618885042966,6
omegacsd_SUKPET,23.835596420472726,0.08667369947632153,3.182733715163124,6
omegacsd_KOFLIA,49.690189438480985,6.694418776429032,14.440147614149943,6
omegapdb_1uf5,44.79038016867767,12.404495965822306,13.973570643444816,6
omegacsd_KOFMIB,92.35889467358888,8.499113215588565,16.514954126452125,6
omegacsd_PINSAG,4582.611972970662,7.8885493866557255,10.242789769629695,6
omegacsd_NADZIB,2166.0534617667818,15.800994664013004,25.647394172353955,6
omegacsd_HATKES,169.86515372834896,4.807848189189613,-1.8971496835805368,6
omegapdb_1f06,13.668740233649757,8.986667212096581,9.886907624417919,6
omegacsd_FOGWAZ,667.6328280808507,7.278978996805904,9.582116774013201,6
omegacsd_CIDSIR,19003.969255862477,4.026948018755718,16.903705287191457,6
omegacsd_SIHGIZ,266.6240299338593,18.722692289731718,19.489225172932393,6
astex_1ywr,45.56342322690287,5.148791653891493,13.902187169769718,6
omegacsd_HAVLUL,29.128316957663323,13.179067468974893,15.720916800347354,6
omegacsd_FBPAZD,603.7497407257683,-9.167339546560122,-5.497293672002165,6
astex_1mzc,102.13932715426856,48.29581827033195,136.688878551691,6
astex_1sj0,4672.481201035392,12.84561861103738,11.217975895632733,6
omegapdb_2byi,51.05404541799862,13.275142092981973,5.83174713984485,6
omegacsd_PMBSAN10,7375.86730659974,9.850109750229684,4.642527511016489,6
omegapdb_1gs5,31.604068709404437,20.057941269178222,12.994090056616557,6
omegacsd_VORDAH,7904.851120835635,8.26599744580298,15.856816695928998,6
omegacsd_PEXJEH,197.2813572824385,3.5908818516927568,9.782016017219519,6
omegapdb_2ewb,138.95784549385655,22.002298192705425,16.381891409695626,6
omegacsd_HALOPE,114.30963523331016,9.810353067766528,20.828725838015174,6
omegacsd_MICONZ,115454.66821807856,0.3393644820029138,9.381002274216598,6
omegacsd_HALDOL,25309.349652142566,8.882343865942694,18.644563755233598,6
omegapdb_1yvx,966.2359083859533,6.31496271250883,7.787509713981379,6
omegacsd_AOPCHY,206.3210039269016,8.08188293521566,12.880736226490527,6
omegapdb_1o2y,1172.3757128251411,10.656001177559347,11.129559991990291,6
omegacsd_CIJFEG,43.681243124043164,8.192093205772863,8.169846217642629,6
omegacsd_COTXUE,929.1447123329717,22.35409000987238,7.172714308318248,6
omegacsd_FABSOQ10,17.984290336270192,4.471072061933512,3.1312305539241976,6
omegacsd_FUJRUX,1555.0375403300761,22.978346306482706,28.217162173116677,6
omegacsd_FANRER,78.89082311315238,13.320635448371789,20.339086829582456,6
omegacsd_FAXPUP,4868.199483952107,4.977712731445827,7.911762526592206,6
omegacsd_SAGMUI,39.85840707271999,17.06904368379066,10.631081550420781,6
omegapdb_2cji,38157.87020918167,9.485985487420649,18.142648479639803,6
omegacsd_YOPWOP,50.92766929936518,2.15332883534818,6.882444598969105,6
omegapdb_6prc,15.015614804736723,4.831706500020571,17.02612120689946,6
omegapdb_1f8b,860.9362134518332,27.663064883624045,14.61281885635212,6
omegacsd_HALSES,61.84580172896955,19.104493109549317,10.685246223991129,6
