Target,Uniform,EI,LCB,N_rot
omegacsd_HEKROE,3008.957133200705,-0.44846967319622877,3.5307062706790475,3
omegapdb_1pa9,8.777203447813768,0.20216031125218592,-0.18039842337090306,3
omegacsd_CLPTBU,16.86804221854321,0.054365251267100234,0.41072374226920516,3
omegacsd_BEWLIY10,13.782401935109306,0.6844762670278612,-0.00190790314107403,3
omegacsd_LAWJEY,9.153701570905689,1.1041687102639628,0.46860822573100336,3
omegacsd_YITLES,14.715154886800441,3.4875582966185803,4.361852161611907,3
omegacsd_YESPIV,5.9737767470283245,-0.7518244109478331,3.42816196288004,3
omegacsd_JUKZUK,48.19676541527616,5.2328521740646465,1.964838481239127,3
omegacsd_BEWLOE10,7.233065971914911,2.3912229731262045,0.7941997282215567,3
omegapdb_1toj,5.584397514360461,0.7080506995535139,0.40982246105384235,3
omegapdb_1m5d,18.204127772334317,6.458354746547279,5.502564057976766,3
astex_1jd0,32.93262940431911,-2.6762979181797775,-0.6658081360846708,3
omegacsd_BAXOZO,18.48908992761548,0.48803639884852856,6.181813100310592,3
omegacsd_KIHWAZ,22018.389496633292,-10.330335423179903,-11.026067601059083,3
omegacsd_DAKGEB,5.871714117298566,-6.019521891233509,-5.227278970324832,3
omegapdb_1bto,3423.894434262931,1.8946144993881529,2.981676844561955,3
omegacsd_KEMHOZ,2.1731164768438376,1.802026636156718,4.5393989349444155,3
omegacsd_PAPPHI,8.368880163833133,2.029887409657647,0.24143687772540545,3
omegacsd_PEXFED,45.93436090106924,4.81764397268303,2.3347563730637404,3
omegapdb_1uwc,22.61584628420659,3.1316484974516925,5.855349353756125,3
omegacsd_SIFJIA,163.28891882563772,1.0839526420034247,2.699035706934197,3
omegacsd_CUSLUX,166.55168159664544,0.17405527394009823,1.955844806164265,3
omegacsd_BAFREF,9.08736625819651,0.41728329643578377,-0.4459702736222084,3
omegapdb_2brc,1.5089570097208167,-1.9688785794061943,-1.4194557928311724,3
astex_1n2v,7.0465279849626725,1.0346090004160402,2.3639707158571923,3
omegacsd_AMPDAM,81.83374284399557,2.9198543519675297,1.9980252421630382,3
omegacsd_VENRUB,11.019056634292042,4.788747783828725,5.124930186187285,3
omegacsd_CLPHAC,14.023520756223249,1.4060061303644602,0.797382322291881,3
omegapdb_1k2t,834172.4807744436,-2.0834939924450424,-2.14709233669371,3
omegapdb_1utt,13.151834195660328,1.248613138594294,1.248613138594294,3
omegacsd_FUHHAR,843.9269900033622,0.10338735724396031,1.5199142336329459,3
omegacsd_GATPOG,188.04443570947518,2.263554258369396,2.6514499891140133,3
omegacsd_FOWPOW,6.048981539972246,1.5698915796132553,8.403582472142887,3
omegacsd_TEKBIU,12.300370245866986,6.150741490371786,5.242006453435806,3
omegapdb_2ggd,2.5950279450617586,-2.195301848384929,-1.28931211326136,3
astex_1of6,25.688794978398214,4.050744404705412,4.757854400191803,3
omegapdb_1w1q,143.14272250033588,3.6493605648667433,7.282698718622591,3
omegacsd_EXOADN,9.53484384724387,1.3765118119890758,4.1952070363124605,3
omegacsd_BETFAH,1.6004347001970274,-3.5730066024776193,-1.4966434851138786,3
omegacsd_PIDSIE,4.06322172774037,2.1088933374194525,2.08346147528016,3
omegacsd_HAVRUR,35.77360442350086,-9.22095169083137,-6.015552206018782,3
omegapdb_1d3g,40.43267563363017,-11.441579832109454,-12.701176206452217,3
omegacsd_SEMDET,2424.7262453797234,1.0500273629398293,1.0500273629398293,3
omegapdb_1p1o,14.745710250687878,4.938146961218074,3.885016552627455,3
omegacsd_HADLAZ,16.301553504965653,-0.03042531474049781,5.872641550484545,3
omegacsd_FURACM,9.725510758766092,1.3789884444201874,1.3681140110033425,3
omegacsd_BUSNIM,275.98605597651925,8.695097235255794,2.470426161927758,3
omegacsd_HALJOT,14.78150726400385,4.454149574377052,2.7892500575835832,3
omegacsd_LERKAU,77.14162559118311,1.3782485493510137,0.7563517375505029,3
omegacsd_YINDII,5.808872314463557,0.8023173918503943,1.3730588924741625,3
omegacsd_SAVXOC,48.03393976345919,-20.163749393901874,-21.32677769648045,3
omegacsd_PNBPIP,14.264570431674372,-0.9233324680744701,-1.8113625604156596,3
omegapdb_2iuz,4.907235159774871,5.713147775753242,4.299068678543733,3
omegacsd_CIBPOS,27.026156481101538,0.570775336173412,-1.9346563094162477,3
omegacsd_BELWOE,82.09120445451495,7.530950260707389,4.468967662663072,3
