Target,Uniform,EI,LCB,N_rot
omegacsd_CAVNUI,985.2168350175723,-9.200580470599462,-12.593646550876713,5
omegacsd_SFDMOX,14.88796834277369,10.224246520783424,9.424790934845106,5
omegacsd_FEKYEZ,28.727243639366012,7.247045364404489,8.53722293448551,5
omegacsd_LIKMEX,2075193.7058413129,5.465578075587359,9.18900260626809,5
omegacsd_PEBHAF,101079.21177980861,9.655610452567984,5.976524553405596,5
omegacsd_VORJER,10.23493197675829,-2.1660539650498976,-3.278250871713169,5
astex_1gm8,56.32070640892492,7.4850390034618925,5.4622361500456975,5
omegacsd_DOLJIX,2902.4517996325044,4.1374929194700485,6.584036818762229,5
omegacsd_DIZWAK,41.36848791795808,5.152419945276762,-1.4062340883290858,5
omegapdb_1iy7,5535.0155326336735,4.745465347656761,9.982103362959265,5
omegacsd_FURSEM01,17.5769765559575,13.679024914571322,24.04511247627523,5
omegacsd_SEYPUH,61.41373295684541,1.8468026803966922,4.63111547513568,5
omegacsd_WEBCOV,244.58695203554055,5.245299810092085,12.441959399016184,5
omegapdb_1d3h,4.547738003378186,4.173175245101838,1.259687287398215,5
omegacsd_CIXFIY,73.26748224621922,5.017416288278454,3.608564456444242,5
omegacsd_FEFPOV,28.25579557292935,8.20397998159477,8.20397998159477,5
omegapdb_2iko,35.30497822993999,-1.8169950456301933,-0.354486440086049,5
omegacsd_LACCEX,36.91148935207968,4.7449666943489675,10.120555383677974,5
omegacsd_YICPIJ,34.74368245137055,3.957261546396431,3.2048542971528633,5
omegacsd_DEBBER,67.86137914288955,7.995872629840818,13.200833780679005,5
omegacsd_GAVMIZ,42.54574781222671,0.2183395410542346,0.3583509305792063,5
omegacsd_PXEZSD,-6.317201415685901,-9.847971317152876,-13.502686235960844,5
omegacsd_GEHKIN,52.24272515655663,5.183864084665494,9.612689125770572,5
omegacsd_CETZOQ,63.635209290815816,3.654384820364328,8.63368239295422,5
omegacsd_YILDOM,19317.65748314817,-1.2518223722463802,9.01540745111923,5
omegacsd_VEYRAS,18.232931398442275,3.1995740053692145,2.1638173442577084,5
omegacsd_FUMBOE,64.54437036985972,7.469826828308413,3.5268079790119344,5
omegacsd_DUZDAD,16.889857276790437,0.7663251881431279,2.2059650804335433,5
omegapdb_1v2k,75.7430284806644,12.336057950538901,4.94247043844625,5
omegacsd_NBPENC,8354.820991035649,4.234103599953841,2.1452513885745788,5
omegacsd_ABZNPS,165861.33857421597,0.21929305990533976,3.7136577249012532,5
omegacsd_SINKUV,994.0129082903114,5.711681395689972,7.815994592764113,5
omegapdb_1o37,48.1287250816583,5.148217384606454,3.1197201695368904,5
astex_1xm6,15.928160167761092,3.8563743650421287,3.4401718504464185,5
omegacsd_FIBREN,2696.1086156494293,3.140239261612429,7.415978992591668,5
omegacsd_SPIRIL,14.782957369985226,0.7023303289174905,0.7023303289174905,5
omegacsd_CMXPYO,35.6603570137991,-8.135906157845533,-3.162994664368,5
omegacsd_JUVPAR,19.763773107030772,2.899731627155404,1.0790557185068366,5
omegacsd_HEMLOA,89.26876799290228,5.2585206626543055,5.088496134049393,5
omegacsd_CIPXEE,1058.3050267080444,-5.973944283091065,-1.4677275030016261,5
omegacsd_CABCUD,43.079514811812246,16.305740535906466,12.356503617050919,5
omegacsd_WAVTIW,42.42569379338521,-1.8964340467875331,-0.18030621202875352,5
omegacsd_BAFJEX10,60.59613280372764,0.5052910153605694,7.112337499955203,5
omegapdb_2byh,5.586227062417073,6.113977347308648,4.078740297595942,5
omegacsd_GASPUL,1135.8197307788041,8.821781442462381,10.074982696942143,5
omegacsd_COKTAX,33.23999943232411,6.202351359503552,4.630186646325086,5
omegapdb_2f71,121.71509338999701,7.365395540487327,12.453701878260489,5
