Target,Uniform,EI,LCB,N_rot
astex_1uou,18.23551646037589,0.5080643932496685,2.0605690306587547,2
omegapdb_2c4w,26.695693767864853,0.3195611108622245,-0.22063177752508523,2
astex_1ia1,7.180307692637513,0.08523113462753429,0.08523113462753429,2
astex_1w2g,5.588155602457228,1.2410854700245508,0.4726250013211484,2
omegapdb_1n3z,17.812687397773743,-0.5246510252189012,1.3983361912569308,2
astex_1p62,8.858197682844128,-0.1640863257386087,10.218899444190335,2
astex_1lrh,1367.4260458636393,0.30636994660585515,0.5924900884491677,2
astex_1of1,5.866929674553461,-0.20700760890137815,-0.20682556624066706,2
astex_1hp0,14.218131293634599,0.042777080499988074,0.10592605550370138,2
astex_1sg0,2.0443490943689255,-0.09644154712118791,-0.10667300874479224,2
omegapdb_1v97,6.732910553175678,-0.5173325758512348,-0.5173032306315406,2
astex_1j3j,226.7058840968209,-9.956630714440394,-10.256399440894569,2
astex_1m2z,6.115589007823644,-0.9695353991274942,3.0435919112685212,2
