Target,Lowest,Best,N_rot
astex_1uou,LCB_bayes_123,No,2
omegapdb_2c4w,EI_bayes_321,Yes,2
astex_1ia1,LCB_bayes_234,Yes,2
astex_1w2g,LCB_bayes_456,Yes,2
omegapdb_1n3z,LCB_bayes_234,Yes,2
astex_1p62,EI_bayes_123,Yes,2
astex_1lrh,EI_bayes_234,No,2
astex_1of1,LCB_bayes_123,Yes,2
astex_1hp0,LCB_bayes_321,Yes,2
astex_1sg0,LCB_bayes_345,Yes,2
omegapdb_1v97,EI_bayes_345,Yes,2
astex_1j3j,LCB_bayes_234,Yes,2
astex_1m2z,EI_bayes_345,Yes,2
