Target,Uniform,EI,LCB,Confab,N_rot
omegacsd_DENBUT,0.3957311064911935,0.3100847304085228,0.0,0.3433001703612256,4
omegacsd_VAMCUH,0.2855528722335852,0.22846062439326,0.13544846395756516,0.01727316972322799,4
omegacsd_KECDUR,0.5569223501204119,0.18167670881544348,0.18500372873619503,0.08375084525377223,4
omegacsd_HBFRAN,0.39508526376527275,0.07671146034212893,0.22050958444477337,0.027525244361337773,4
omegacsd_SIHDES,0.1862041185048154,0.0,0.25081820290704154,0.4887692413426897,4
omegacsd_FIXNUV,0.3286197575134571,0.17375114338133332,0.15073710779796845,0.26851890074516305,4
omegacsd_CDBMPI10,0.2355752891527276,0.05515154933338148,0.05572817516899636,0.05359309766132218,4
omegacsd_KABJOM,0.48406099878494535,0.40020759230110486,0.3776301796942561,0.17556923779678213,4
omegacsd_QQQHDG10,0.3124994625970949,0.11292957162221377,0.0,0.07056802430006083,4
omegapdb_1k2u,0.021015450543297443,0.010494654397339976,0.12133683838097455,0.1668646768146042,4
omegacsd_MATSTA10,0.08671915506970446,0.016189572649774452,0.04696179433472046,0.01871624410556536,4
omegacsd_LIKGIV,0.3481765870687165,0.09688526350797845,0.2057591683224908,0.031119686361125512,4
omegacsd_MTBPNP,0.4255428381547059,0.0,0.074154905858359,0.34765127032021076,4
omegacsd_MLDPHE10,0.17929599573195804,0.10368390310862055,0.0694980784098062,0.1303225247060173,4
omegacsd_BESCEH,0.20009379295359866,0.2589918488670402,0.06387817299925004,0.2747367999367394,4
omegacsd_DIWPUU,0.3708291178564064,0.0,0.12791241460594877,0.06780352002525916,4
omegacsd_YAYDEH,0.11672195325512523,0.05802730002012712,0.115079704121245,0.15105538758595274,4
omegapdb_1o3m,0.24356176178017705,0.00037540529193216175,0.0,0.0013741967861233195,4
omegacsd_TAZXAT,0.20710178238197818,0.22021212479999697,0.058949050789931984,0.05821188203345353,4
omegacsd_WELGAV,0.12525200463875458,0.079083962095294,0.15471528758224573,0.07278184546903149,4
omegacsd_GINKUJ,0.08718306099866495,0.03954943824583421,0.10657498886713515,0.00034144374590667814,4
omegacsd_YOPRAW,0.384372948167014,0.13993038264257388,0.051394897962353955,0.11770957985363632,4
omegacsd_CIBPEI,0.1450778216738193,0.31281174661826017,0.39374305426082745,0.31201084243634636,4
omegacsd_CELXOG,0.14700933181861128,0.10341090724570451,0.266412955516473,0.12645051785585248,4
omegacsd_FUPFIF,0.6887534672659578,0.45727679888719125,0.3653376351553817,0.4950206693767655,4
omegacsd_COYPIP,0.12553016937784978,0.00348444143708609,0.040090280433958715,0.015243553998857727,4
omegacsd_GIKJOZ,0.18621982551286684,0.32922145297536853,0.14376428581306866,0.06816901360469846,4
astex_1tt1,0.7666141919029518,0.0834134340657514,0.19920936764930547,0.0052132001222261965,4
omegacsd_CBMHZP,0.04987471971339619,0.05239211767030595,0.15907771608115323,0.04930991116191668,4
omegacsd_BAFYOW,0.19999745511028766,0.22735088971524856,0.21166677477708726,0.1314864983453993,4
omegacsd_BUTDID,0.20465518648401257,0.06031870096503683,0.12310573346431664,0.03627144804400351,4
astex_1owe,0.07839655172340391,0.03367923946002208,0.0,0.007395971267973377,4
omegacsd_HEMWUR,0.22428094183980668,0.09395361291361966,0.1651748946023388,0.08821286083812774,4
omegacsd_GIHKAJ,0.15768392781237367,0.060502062131882944,0.044985470493186346,0.03535194458867802,4
omegacsd_HAVJET,0.2531979900508913,0.033471593932862996,0.15154845536759254,0.05967384970468889,4
omegacsd_VUGDEG,0.42848355373001457,0.12061477848474379,0.13330071291650294,0.08766930857086648,4
omegapdb_2bts,0.20029928856116014,0.05050239211348326,0.07275341085959043,0.03954169837822009,4
omegacsd_CAGXEN,0.7865819863271093,0.07769786418846639,0.05313608320863264,0.07758046109828919,4
omegacsd_SOPNAM,0.43617030620955216,0.2266998954070643,0.0,0.0363828020929784,4
omegacsd_CEKNOV,0.22827419606518143,0.03762830767800643,0.27999610391615004,0.26366102097936245,4
astex_1oq5,0.143264628662292,0.019617690411322653,0.02332785498483696,0.059929589831659705,4
omegacsd_JUDWEK,0.15743262127931795,0.055494055319626145,0.35137680657284087,0.38839401158796766,4
omegacsd_DUHSUU,0.12323675314195622,0.08395170397375874,0.08654359461167162,0.0614198498625939,4
omegacsd_PBYXCH,0.15159311827423216,0.2570012502195705,0.2029464990397224,0.00884970705140774,4
omegacsd_ABHYTZ,0.43709248504979353,0.09861729687982536,0.044652991565858016,0.05723960702277871,4
omegacsd_PBBSHD,0.12938688774735324,0.02792682749215878,0.05143413952879035,0.13339650541324535,4
omegacsd_TAPBZO,0.23977807623233327,0.25392956004848133,0.051660321312380686,0.2249267303045685,4
omegapdb_1gjd,0.37836038296899177,0.3991190290942654,0.06470326677247759,0.004953436763353869,4
