target,Uniform,EI,LCB,Confab
omegapdb_2c4w,0.3309678816845718,0.0,0.04146366042709919,0.036700105329538026
astex_1ia1,0.35106751239186584,0.2821286937997701,0.39663313146701,0.01535725918154491
astex_1w2g,0.4748013196256266,0.011066163918805116,0.061333415012807174,0.04046559063898269
omegapdb_1n3z,0.1209473305372808,0.03567393472907887,0.340986190349273,0.01149634141270133
astex_1p62,0.5253128389460789,0.0071785476387969446,0.03893072448035447,0.059766361013244576
astex_1of1,0.12338514266755468,0.001761660817423553,0.001320098428459828,0.0005888571151741745
astex_1hp0,0.09079590965711455,0.011854137639563053,0.0,0.0007383856800120776
astex_1sg0,0.08651341953929985,0.0016194643666791065,0.005443530714574535,0.013530079600693554
omegapdb_1v97,0.22411016496069522,0.007397362622524836,0.0007015299153979289,0.01717736553804022
astex_1j3j,0.03385142672181634,0.032218936931367695,0.07780743458633715,0.10532255336339709
astex_1m2z,0.0011970634122861654,0.00015118886237237773,7.533877865453979e-05,8.267828924522935e-05
