target,Uniform,EI,LCB,Confab
omegapdb_2c4w,2.2776853684153022,7.414236590552546e-16,0.3237138781027291,0.27254519116954057
astex_1ia1,1.8763928728752803,1.416835295914061,1.694484486363092,0.1150803054419324
astex_1w2g,1.656860539295819,0.05861433729022548,0.23964046921769724,0.14800401528717871
omegapdb_1n3z,0.7196729790093807,0.21887749327853928,1.928025180218141,0.07580052490531716
astex_1p62,1.5064150039278077,0.03145089601853644,0.13792727237688507,0.21454649784595464
astex_1of1,0.8928094828170121,0.013471837194276859,0.0097070823584044,0.037314132189621645
astex_1hp0,0.5804793540368736,0.07393593052954384,1.015872867055787e-15,0.04722111180247971
astex_1sg0,0.24804177757486096,0.01012443203108415,0.033153386400974455,0.06927049573056701
omegapdb_1v97,1.4729088270623032,0.041290583838913236,0.007220630804993617,0.24548417591878874
astex_1j3j,0.1092874651245834,0.37866784141494375,0.23189523517078123,0.2905516304163875
astex_1m2z,0.7199867440220563,0.11429073492152851,0.05346233677103765,0.09063433170911932
