target,Uniform,EI,LCB,Confab
omegacsd_HEKROE,2.096636411715004,6.919364477329369e-16,0.6496620305276766,0.37679008942187947
omegapdb_1pa9,1.262105070162128,1.2348465446465313,0.941383262636467,1.1112760500247174
omegacsd_CLPTBU,0.6648254705067045,0.4950801277043297,0.7917168382295794,0.44655268017315464
omegacsd_BEWLIY10,1.1290667814706514,1.1090087060418228,0.8604301227778651,0.06648309396562642
omegacsd_YITLES,1.032673895770204,0.9835279337268722,2.1695750312109273e-15,0.10831675309714354
omegacsd_YESPIV,1.9417875466801091,2.347500822890645,1.6368929886500283,0.48496839214534
astex_1jd0,1.3719741575811466,0.18842526524996045,3.080823849401756e-15,0.774446968092955
omegacsd_BAXOZO,1.549314558611926,1.77531449482803e-15,1.6007108510458856,0.1418283074637778
omegacsd_KIHWAZ,2.346155214570049,2.174757517964848,2.08286704457066,2.2216685215563428
omegacsd_DAKGEB,1.13779156718836,0.03901230200355325,0.45620479777338874,1.0270129920119
omegacsd_PAPPHI,0.7534096729404385,0.1577473938065626,0.918565272378103,0.8714098590609686
omegapdb_1uwc,0.9477668474866858,0.5510462483015887,0.007031973226796298,0.018124526589239926
omegacsd_BAFREF,1.0929034761431677,0.3590568019752724,1.731698001139614,0.551289476306204
omegapdb_2brc,1.436556815136802,7.671712266363083e-16,1.740147767028375,0.47221850225564393
omegapdb_1k2t,1.1513366297026595,0.2544287128938786,0.8269993705720793,0.7739276852789301
omegapdb_1utt,1.1719449036924723,1.7556491059311183,1.6285667342675369e-15,1.6667357696256868
omegacsd_FUHHAR,0.919651453148389,0.4351488530044291,1.576456774508914,0.09167468453982178
omegacsd_FOWPOW,0.36819374693561063,0.23332463516600038,0.5793134615691136,0.24353351302438841
omegapdb_2ggd,0.9697017196727201,0.42696643173494747,0.9771238824053601,1.065767497943379
omegacsd_BETFAH,0.8080892844662915,0.36865229380439946,0.7369282948120527,0.6618498841889493
omegacsd_HAVRUR,1.7285248936412283,0.5845711200989183,1.8147235012738514,1.7464170167714086
omegapdb_1d3g,0.7013566421824765,0.7468741330202183,0.659311121680916,0.6622739226157264
omegacsd_HADLAZ,0.691167643963776,0.39370189115431153,0.4633206031313834,0.5178882797434784
omegacsd_HALJOT,0.747025483162289,0.25347396358339386,1.0566176275307055,0.8574220281860789
omegacsd_SAVXOC,1.753275625315835,1.6328395421388958e-15,1.3639435254596814,1.859469094552166
omegacsd_PNBPIP,0.4770692627901501,0.2592529716354692,0.2703900972734381,0.8422129314130533
omegacsd_CIBPOS,1.4823751994353493,0.17639038111436478,0.30880779931361274,0.7450803282788465
omegacsd_DUDPAT,0.8541201644246871,4.793304814332581e-16,0.2653823264424359,0.7720871605397758
omegapdb_2bgd,1.284728997874815,0.6022617933166039,0.5531960402383475,0.5865104537222345
omegacsd_KAVLIC,1.5221527188776212,2.152426214857407e-15,0.7495544468703446,1.4360893027510424
astex_1n2j,1.081293160069359,8.682466894016429e-16,0.4485179044021725,0.5420533678923917
omegacsd_LEKMET,1.2085338030603934,0.37151178002216817,8.569303206853713e-16,0.0680128634349494
omegacsd_JOXFIL,0.7982431039590954,0.48924834821904495,0.4124997031790941,0.624031929164475
omegapdb_1n2b,1.5560555881455147,0.5583487565809557,0.31740339643190113,0.1687577773364896
omegacsd_COYVIV,1.4536407330729988,1.7965197665678858,1.0265727212724214,0.3671944173541976
omegacsd_CYCLIZ10,0.9302939144479406,0.4331409192332058,0.37162323023218513,0.03836414401694884
omegacsd_FIJJUD,1.5525551605008319,0.2573928678451859,0.26928592092900094,0.3350197807772898
omegacsd_DEBFAR,1.2570795846111917,1.8706845176101912e-16,0.720167168981153,0.15809965630011194
omegacsd_FEYKUP,1.5505729700039674,7.087306937036331e-16,1.861348686564966,0.27823813088003485
omegacsd_YAHBOY,1.51960268105387,0.9969065109810413,0.9969065109810413,0.8615514803050223
omegacsd_VADTAV,1.0175848244744987,0.20427575572013637,0.8112409247905775,0.17804983970689897
omegacsd_EMZPPO,1.0953515556897042,1.4312082697450054e-15,0.18139710402051437,0.5115532863729757
omegacsd_FACCER10,1.6383826391478602,0.24864648285017596,1.9012226325275945,2.2106202502882106
omegapdb_1gj6,0.5696765252251238,0.46132257835122426,0.5974235664367922,0.5464134465038414
omegapdb_2aw1,1.1878174390195724,0.9217142158718059,1.09301818788161,1.1609376687653457
omegacsd_ANOPPS,1.5104738576506758,0.4412522963259908,0.43300915233458753,0.5005777854015044
omegacsd_MINTSA,1.9471535678594156,0.7492710986369876,2.658194350425434,2.088490185681667
omegacsd_CPIPLA,0.7772878247360927,0.46413958842312614,0.46413958842312614,0.3018716814026515
omegacsd_SLFNMB04,1.032062533193636,5.613823232876049e-16,2.23566796328411,0.81906836694267
omegacsd_FUDVUV,0.6223369783428747,0.1805054502994053,0.24676951038996006,0.04435926957557258
omegacsd_TAJSEC,1.5918650837943575,0.5225069615931056,1.701212372456039,0.8777494797259733
omegacsd_FAHTUD,1.7524174360097284,0.22735798999351498,0.22733255436155872,0.7558068457995053
omegacsd_TAPZEP,1.057387792602581,1.772586983371087,1.8842957042555142,1.854193235195568
omegapdb_1xap,0.8458614677379447,0.6402586366248153,0.5516344730773765,1.1604239713185478
omegapdb_1xqc,1.2972931141317379,1.4225121083514474,0.9496435345609129,1.7740151452842476
omegacsd_FUCFIS,0.4395938780331054,1.6796545493186866e-15,0.6408343304896372,0.23560372141782843
omegacsd_COVXIU,1.499689640645892,0.32847401085977845,0.4834348568940992,0.5496192864604903
omegacsd_DUDNUL,0.6477776307135674,7.656061430136284e-16,0.17287988996758083,0.5508699733609558
omegacsd_FABWUA10,2.2519700129641986,0.4734040598618182,2.0293542963949614e-15,0.7138815559551043
omegacsd_ABIMAZ,1.2292377887126738,0.2156813611298494,0.3028211237826292,0.029678247252906097
astex_1r9o,1.469895905648135,0.6805641632542483,2.6167476764660864e-15,0.1381727118378529
omegacsd_VOXMOK,1.7550808568782994,1.3174508516892744,1.49933491790433,1.6609383701980873
omegapdb_1syh,1.3834797965852925,1.457470431146825,0.49953791621046917,0.43924208807822623
omegacsd_CEVTUS,1.1132823016110098,0.23312861011180128,0.023747499805435023,0.15611599137387067
omegacsd_KIHWED,1.4653560086604196,2.102354243614879e-15,0.15960099548036288,0.12136342604581735
omegacsd_WEVTIA,0.8201691199995259,0.09548523937977024,0.02028173564583759,0.15507554466639917
omegacsd_JUDLUP,1.3124197886140911,0.28934601268061577,0.3257727818764966,0.32825064468648596
omegacsd_FUNXUH,0.7271096930828245,0.48432199435988493,1.5905236031126375e-15,0.19138697708960098
omegacsd_BUNFUL,1.2270460907965166,0.9611115315217386,0.9930588617519767,1.207434626090008
omegacsd_MRMPYR,1.2621091002006717,1.6018969010491093,0.5785249617470171,0.2693853229212503
omegacsd_GEKWAU,1.6120602453594108,1.3918502219391842,1.8409204918086708,0.25519564101866204
omegapdb_2evc,1.458511952970227,0.9445519900161687,0.07900921648922574,0.4301063811218109
omegacsd_FECPUY,1.1164957966426547,2.01175262374066,1.4906975681745015e-15,0.34155555877518723
omegacsd_WIDDIW,5.6817193974457785e-16,0.5608984340461742,0.9640419781936198,0.1906233801862462
omegacsd_BBSPRT10,1.4927617662539674,1.328312244657012,0.9298380961609842,1.4092110355039598
omegacsd_HEXYIS,0.7081745873469965,0.9205997568616637,0.3841741732665575,2.3539857724306184
omegapdb_2flb,1.3878325405696423,3.027292110890983e-15,0.8679825628994822,0.07883238169137874
omegacsd_CANPUC,1.8802606394387944,1.8826685383125568,1.876877913217387,0.585519582272773
omegacsd_CMSMOC,1.0977289242831518,0.9158768086582566,0.5530535298897468,1.6295594145348073
