Target,Uniform,EI,LCB,Confab,N_rot
omegacsd_CAVNUI,1.5826409192951547,1.51107739276045,2.2250365850655207,0.8340654952632071,5
omegacsd_VORJER,2.63792099965191,3.521025459893119,2.2858295517561884,2.3871459779576996,5
omegacsd_DIZWAK,1.378892856050008,0.7766415395510751,1.110942993159132,1.2065126715342176,5
omegapdb_1d3h,1.1379419947571265,1.3438571433479818,1.0510760189212234,0.9882842617955578,5
omegacsd_CIXFIY,3.0671219912203,0.9227878483823061,1.7341442568897103,0.7278552173059517,5
omegacsd_FEFPOV,1.1508842242330215,1.177854094695655,1.3629018403638913,1.301025738111825,5
omegapdb_2iko,2.839279045735446,2.0204092588205285,0.7000113581085686,1.2255027714077047,5
omegacsd_GAVMIZ,1.600718429286834,0.9868398382507461,1.3220303065934993,0.8420974122399533,5
omegacsd_PXEZSD,2.2829177563439953,0.54620298708155,1.438196850231719,0.9052789397410462,5
omegacsd_YILDOM,0.9714483159687596,0.8497259771831455,0.629322908071785,0.3068776717914913,5
omegacsd_DUZDAD,0.6605069457946638,0.5954999289203379,1.0317449864645711,0.4959886829436382,5
omegacsd_NBPENC,1.2209611672395912,0.6222672858167139,1.152231519108098,1.0038672876983123,5
omegacsd_ABZNPS,2.83088744461999,0.45021081668671314,0.8389164614027127,0.2575917228159029,5
omegapdb_1o37,0.7465894456242711,1.103818450950613,1.0826554449409367,0.6144286926711116,5
omegacsd_CMXPYO,1.0017815415604518,0.47485149291210943,1.2073489853232133,0.5489845554574103,5
omegacsd_JUVPAR,0.49556019144715246,0.4823258114248758,0.48419811499173865,0.8027534399101737,5
omegacsd_HEMLOA,1.4618238245518147,1.4640465408540475,1.374638851389443,0.3669033474430325,5
omegacsd_CIPXEE,1.094734819812871,1.9871790798555207,0.4538623040250853,1.5446361976489957,5
omegacsd_WAVTIW,2.56577898240765,1.797984856190778,1.3026106781111342e-15,1.013284361356739,5
omegapdb_2byh,1.797491564702629,1.9639731786624544,1.1664661566710726,1.4728664203529083,5
astex_1nav,1.1203421189022265,1.634331133765652e-15,1.634331133765652e-15,0.6996197124590877,5
omegacsd_CIJVAS,1.4194114602250947,1.6208753499050974,2.059373104653416,0.5229630030598638,5
omegacsd_ACPIXZ,0.9366199958394592,1.0573156825015864,0.8945905432406793,1.3263422585163231,5
omegacsd_VURTOR,2.6347239599469923,0.6483012385675839,2.2141562300582924,2.692076248105165,5
omegacsd_CUWRIV,2.2252491313593716,1.946830630464535,2.396150748666131,2.0021863707771868,5
omegapdb_2izl,1.1731225466927826,1.92655159491357,2.189515577708781,2.0614863757042987,5
omegapdb_1sn5,1.6946547482245948,0.6531147387737312,1.3686154981180596,1.1765148201944013,5
omegapdb_1exa,2.771251677986839,1.7793195005838023,2.527462848851956,0.999902132029631,5
omegacsd_GIHWUP,1.5643528716975854,1.9453470460871565,0.6499755472036031,1.8488212533736843,5
omegacsd_CEWFUF,1.8702219101059807,1.673173318429669,1.6125445979312223,1.8395932910560109,5
omegacsd_DCTXAN,2.7023417888287034,0.3180530144769646,0.5436420826425851,1.2619903969199684,5
omegacsd_SOPSIZ,2.443100182105992,1.8616870423007537,1.9686935967049966,1.757413921171862,5
omegacsd_DOTFEX,0.8185066445957551,2.1302970803508026,0.685457560467433,0.933200748345917,5
omegapdb_3cbs,1.2562283893057709,0.8549062112639133,0.2109989067549203,0.3535048852978273,5
omegacsd_HEPKUI,2.29334851007269,1.9695952585958418,1.9747998010751424,2.1385704140773605,5
omegacsd_VIBWIM,2.45681664356356,2.0501119452718304,1.7284131169904382,1.9379250288714422,5
omegacsd_BUDCUY,0.8848894885138199,0.5853330752363829,0.39155708149672075,0.276029225309907,5
omegacsd_GASXED,3.427704975056066,9.719805006275266e-16,1.1683513252021862,1.2077379084830224,5
omegacsd_YULZOU,2.164291272471867,2.080937340174754,1.7968822492910501,1.6480563106244277,5
omegacsd_SEMXEN,2.7359288070555867,1.9232672754451479,1.7760235237434099,1.0126228908868098,5
omegacsd_YUYJEH,2.1759013647667307,0.5607423718282954,0.8228042677571926,0.012369290369145055,5
omegacsd_CPYPTZ,0.46616232073197805,1.089289546822332,1.1857089703472468,0.8904036818937251,5
omegacsd_DECZIU,1.5638859385023645,2.1218941081317,0.8332175422771315,0.7261976222215557,5
