target,Uniform,EI,LCB
omegacsd_SILTUC,0.45631667151541894,0.8371394030933883,0.42896640403466846
omegacsd_COKBOT,0.23610499330744203,0.053403144182494845,0.11388659234238017
omegapdb_1v2n,0.22264966644356093,0.1410693100989257,0.0680100520368682
omegacsd_DAFVUB,0.13819086212717696,0.04775543889081266,0.10460947991831407
omegapdb_1h1s,0.2988142100359393,0.032796867241560355,0.20888451994135673
omegacsd_YULXIM,0.20783694406988362,0.31385205683240275,0.44736551978282857
omegacsd_COYTOZ,0.10680381299123883,0.04621868301800074,0.07668540355420192
astex_1yqy,0.5940144499626423,0.3977900269406283,0.168603237519499
omegacsd_BENPRL,0.2936588480708737,0.1441936184171583,0.2276599492497341
omegacsd_BUYZIE,0.37763255851679917,0.4435828947575117,0.3598986024040764
omegapdb_2j47,0.06474972326786035,0.061060319953121715,0.03145611170540368
astex_1s3v,0.3290221944347862,0.09368440596439387,0.1564271685709732
omegacsd_CMANPQ,0.2316451633976876,0.31554329009017373,0.08877235380103002
omegacsd_AZLNPR,0.1057609931544798,0.05684478775859247,0.23067566151687383
omegacsd_DEBBOB,0.29483063177073815,0.2826296303114355,0.34324777881500623
omegacsd_FLPNTX10,0.3496402420115803,0.08569812713162397,0.19337090447811486
omegacsd_HEHVOF,0.2508088288515814,0.3092290082643642,0.30196285522184213
omegacsd_KIXLOS,0.5796872019279865,0.30604521890351205,0.2919499895906426
omegapdb_2gss,0.10600392931489996,0.20246145849185457,0.14520681315574627
omegacsd_SIHDIW,0.6089599238840839,0.38027102044900407,0.3645613282108264
omegacsd_CATXIE,0.4918901128414057,0.47632033100405113,0.41399011981502726
omegacsd_COCHOL,0.2088795093425118,0.22332556531933462,0.09282850469740714
omegapdb_1g4s,0.18127565199269735,0.18824642579721418,0.28906322600633066
omegacsd_FAWREA,0.16394291376897568,0.028937088738105948,0.23686504228654923
omegacsd_PMEPEN,0.43147675275199826,0.2763316749337163,0.311239569834201
omegacsd_TEDBUZ,0.48079082341674045,0.6495964431914409,0.061436393600035846
astex_1v48,0.39568674714024366,0.4670278760418162,0.595420012863615
omegacsd_YAZBAC,0.6586863961791056,0.4476720384271999,0.07417041918818969
omegacsd_GIHTUM,0.2949951183388199,0.27384888389003825,0.20403566567297193
omegacsd_DAFTOT,0.623970689977259,0.35081681177596225,0.6081736713199144
omegacsd_FOYLIO,0.18248905735272303,0.2670312863357662,0.05477071222358333
omegacsd_KOTGIJ,0.41682657068104767,0.13153502390605018,0.15364573614791638
omegacsd_DISHOC,0.4553230605355602,0.294510964232175,0.3434042661956906
omegacsd_FANPUF,0.3008892490823437,0.33758834835148405,0.33758834835148405
omegacsd_SURREC,0.2772423341624816,0.3674578983773221,0.1794713576270419
omegacsd_BIBSEK,0.24122921044555556,0.23644746720306745,0.2430927290533163
omegacsd_YABKOB,0.09869594395655341,0.2082710612436082,0.2082710612436082
omegacsd_KUFPIK,0.14802581238829093,0.25898084218192563,0.05382943457304816
omegacsd_LANXED,0.2183507217795441,0.3163690402226933,0.46039367112292423
omegacsd_CARNID,0.5733287513897737,0.37897720983239785,0.21974042564843443
omegapdb_2j34,0.2104454701931922,0.1883862379394436,0.1883862379394436
astex_1u1c,0.2198524007592499,0.2550462233291711,0.3067524126595992
omegacsd_FHFPBY,0.17405330673880962,0.22897865703177742,0.2116319571033167
omegacsd_PNPAUR,0.3451222596590276,0.31507201611657687,0.21031046867288067
omegacsd_TANNOL,0.5647155749094103,0.5265908089039736,0.32355352360356276
astex_1meh,0.22052437931927824,0.4581023027989901,0.4398812040602372
omegacsd_CFBPBI,0.2738485103818335,0.2124924032914008,0.18681084456519248
omegacsd_ACENHT,0.2059712674273323,0.22232682466759748,0.2733708948826668
omegapdb_2f34,0.31114946435272545,0.1469622222370235,0.2168782563265615
omegacsd_FAHXIV,0.18352189363911203,0.22038549107768324,0.13971554123067087
omegacsd_PEPHEX,0.1415114668864247,0.15863280034147584,0.16168317291588064
omegapdb_1uf5,0.4075493243194872,0.4492296330309761,0.4588078119986027
omegacsd_PINSAG,0.17473793360045914,0.07692848290857633,0.06705815602812625
omegacsd_NADZIB,0.08532467600514221,0.234896199882714,0.232760080656891
omegapdb_1f06,0.6041132017184445,0.4212559326373258,0.5936693323851707
omegacsd_FOGWAZ,0.24074895381072045,0.2347546234806575,0.24951679345242542
omegacsd_SIHGIZ,0.34736879438036306,0.17225643712574884,0.12435218428554465
