Target,Uniform,EI,LCB,N_rot
omegacsd_CAVNUI,472.4333970180795,-13.342854637038172,-6.49504097185708,4
omegacsd_SFDMOX,17.526600495953403,1.4496841529354185,9.37814632847676,4
omegacsd_FEKYEZ,13.098666520531314,7.99795693841968,8.348375548227448,4
omegacsd_LIKMEX,57.35116481356562,5.767371922390581,15.4088875356519,4
omegacsd_PEBHAF,24.082786755387772,8.29973005114826,8.953460289738445,4
omegacsd_VORJER,547423.8618846796,4.03682577543411,-1.4772780373419607,4
astex_1gm8,290.54417894169353,10.446059390552747,3.114267818388228,4
omegacsd_DOLJIX,104.51025924991498,9.267104449286947,11.18292946743469,4
omegacsd_DIZWAK,77.41661556612061,-0.6754653741013215,3.205281731685119,4
omegapdb_1iy7,1.0304771654942897,9.902813709184073,10.112837046289087,4
omegacsd_FURSEM01,28.307223507542275,9.870025188094331,2.2092994909742885,4
omegacsd_SEYPUH,588851.2805085835,13.903680189797427,2.4963538204329225,4
omegacsd_WEBCOV,155.44883045303402,11.461160502593629,8.168857566444842,4
omegapdb_1d3h,46.22671415010047,7.594991505757704,3.0066000813020395,4
omegacsd_CIXFIY,87348.40218659154,8.60232684329199,0.9358797348192525,4
omegacsd_FEFPOV,14.47096495955335,3.5032264913774043,0.9883625507123526,4
omegapdb_2iko,2303.699100428485,1.6437085619332095,-0.5979882340506322,4
omegacsd_LACCEX,29.931784364242198,3.946027444499613,12.920394897830725,4
omegacsd_YICPIJ,20.857133439305436,11.72570494972478,6.417954199834462,4
omegacsd_DEBBER,185.69298655188132,12.362431763537614,12.126720907513487,4
omegacsd_GAVMIZ,10114.326749291016,2.491955741724226,9.700470314696958,4
omegacsd_PXEZSD,170.1559172978527,-11.695296274089884,-6.497142100502572,4
omegacsd_GEHKIN,86.4023887020743,17.221340178103368,12.273413343565188,4
omegacsd_CETZOQ,19020.18201957606,4.952585433097447,7.91169323301078,4
omegacsd_YILDOM,11.190499533998036,1.141354628626459,6.291767169902556,4
